Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F2,877,195.617,278.93,310,0.346,21.01,20.17,20.15,104.64,0.18748000000000076,1.54,0.9600000000000044,9.364112199999997,2312662189.0,1596228,0.9600000000000044,1.539855611455112,19.99,2312662189.3895283,1596228.2955187843
F2,1794,491.605,75.748,419,0.488,22.87,21.76,20.43,123.24,0.188800978354982,1.54,1.7,9.360829568787869,2295247742.0,1611406,2.5400000000000027,1.5445464668677569,19.98512554112553,2295247741.84406,1611405.8643553627
F2,901,70.901,646.594,433,0.478,21.41,20.66,20.14,121.01,0.1901900000000003,1.55,1.370000000000001,9.357377849999999,2277077699.0,1627342,1.370000000000001,1.5494943607458185,19.98,2277077699.1567864,1627341.6874742792
F2,991,41.21,298.708,356,0.336,21.22,20.6,20.14,112.49,0.1901900000000003,1.55,1.1799999999999997,9.357377849999999,2277077699.0,1627342,1.1799999999999997,1.5494943607458185,19.98,2277077699.1567864,1627341.6874742792
F2,973,728.236,285.185,358,0.363,21.13,20.31,20.13,114.93,0.19290000000000074,1.56,1.1000000000000014,9.350643499999999,2242040741.0,1658346,1.1000000000000014,1.5591934439322506,19.97,2242040740.660808,1658346.1289034479
F2,1110,9.058,379.27,463,0.527,21.19,20.45,20.13,115.76,0.19290000000000074,1.56,1.1600000000000037,9.350643499999999,2242040741.0,1658346,1.1600000000000037,1.5591934439322506,19.97,2242040740.660808,1658346.1289034479
F2,1168,626.103,102.738,271,0.252,20.85,20.12,20.13,86.98,0.19290000000000074,1.56,0.8200000000000038,9.350643499999999,2242040741.0,1658346,0.8200000000000038,1.5591934439322506,19.97,2242040740.660808,1658346.1289034479
F2,995,80.395,-10.595,663,0.645,21.1,20.36,20.13,31.23,0.19290000000000074,1.56,1.0700000000000038,9.350643499999999,2242040741.0,1658346,1.0700000000000038,1.5591934439322506,19.97,2242040740.660808,1658346.1289034479
F2,1108,497.846,595.427,434,0.416,21.59,20.58,20.12,118.01,0.20009999999999994,1.59,1.5700000000000003,9.3327515,2151550282.0,1739929,1.5700000000000003,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F2,1162,599.665,143.639,436,0.404,21.32,20.37,20.12,117.01,0.20009999999999994,1.59,1.3000000000000007,9.3327515,2151550282.0,1739929,1.3000000000000007,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F2,839,328.852,173.045,442,0.467,21.05,20.22,20.12,118.93,0.20009999999999994,1.59,1.0300000000000011,9.3327515,2151550282.0,1739929,1.0300000000000011,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
