,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
73,852.987,764.701,21.540000000000003,20.65,0.8900000000000041,294,0.464,74.67,0.0935000000000002,1.240223625118888,9.545979999999998,3515442509.4448566,5.770060010421244,588925.0268645317,0.006,2.3
74,252.58,54.482,21.450000000000003,20.63,0.8200000000000038,294,0.455,74.5,0.09500000000000014,1.2445146117713854,9.539159999999999,3460668500.8265066,5.774315605215658,594724.192363402,0.006,2.3
75,193.93,833.109,21.220000000000002,20.63,0.5900000000000034,454,0.571,60.57,0.09500000000000014,1.2445146117713854,9.539159999999999,3460668500.8265066,5.774315605215658,594724.192363402,0.006,2.3
76,324.783,739.677,21.92,20.6,1.3200000000000003,248,0.273,54.94,0.09724999999999989,1.250978944357126,9.528929999999999,3380103509.83427,5.780683424710092,603508.5465471913,0.006,2.3
77,123.256,499.771,21.68,20.6,1.0799999999999983,210,0.302,60.12,0.09724999999999989,1.250978944357126,9.528929999999999,3380103509.83427,5.780683424710092,603508.5465471913,0.006,2.3
78,320.303,693.92,21.91,20.6,1.3099999999999987,208,0.202,38.53,0.09724999999999989,1.250978944357126,9.528929999999999,3380103509.83427,5.780683424710092,603508.5465471913,0.006,2.3
79,412.053,131.619,22.450000000000003,20.6,1.8500000000000014,264,0.269,54.36,0.09724999999999989,1.250978944357126,9.528929999999999,3380103509.83427,5.780683424710092,603508.5465471913,0.006,2.3
80,455.042,37.267,21.68,20.59,1.0899999999999999,282,0.321,63.53,0.09800000000000003,1.253141174941416,9.525519999999998,3353667483.044555,5.782801490081853,606459.0622920276,0.006,2.3
81,455.682,392.499,22.02,20.57,1.4499999999999993,279,0.309,61.68,0.09949999999999998,1.257476854367659,9.518699999999999,3301414086.4591074,5.787030224242589,612393.0090537766,0.006,2.3
82,275.836,724.749,21.94,20.56,1.3800000000000026,170,0.265,54.18,0.10025000000000012,1.2596503161399897,9.515289999999998,3275593495.172584,5.789140697419516,615376.2024825878,0.006,2.3
83,62.177,65.747,21.650000000000002,20.56,1.0900000000000034,278,0.355,67.78,0.10025000000000012,1.2596503161399897,9.515289999999998,3275593495.172584,5.789140697419516,615376.2024825878,0.006,2.3
84,754.05,659.413,22.01,20.56,1.4500000000000028,238,0.316,62.21,0.10025000000000012,1.2596503161399897,9.515289999999998,3275593495.172584,5.789140697419516,615376.2024825878,0.006,2.3
85,594.172,346.425,21.73,20.56,1.1700000000000017,285,0.368,69.25,0.10025000000000012,1.2596503161399897,9.515289999999998,3275593495.172584,5.789140697419516,615376.2024825878,0.006,2.3
86,283.927,656.067,21.44,20.55,0.8900000000000006,253,0.214,41.75,0.10100000000000003,1.2618275345906707,9.511879999999998,3249974848.542782,5.791248443952111,618370.0458090269,0.006,2.3
