,xpos,ypos,J,Ks,J-Ks,Per (days),A (mag),prob,Log(M/Ms),M/Ms,Log(t),t,Log(dt),dt,Selected_Z,alpha
15,575.631,243.74,22.400000000000002,21.04,1.360000000000003,205,0.409,42.41,0.007300000000000195,1.0169509351159445,9.871609999999999,7440634986.8987465,5.469299595926828,294645.35294455086,0.006,2.3
16,179.661,481.922,22.14,21.0,1.1400000000000006,185,0.333,34.86,0.011700000000000155,1.027306414838677,9.862289999999998,7282659415.570597,5.490514707764237,309396.0093354615,0.006,2.3
17,891.524,655.324,20.830000000000002,20.93,-0.09999999999999787,170,1.789,43.14,0.019400000000000195,1.0456828853581381,9.845979999999999,7014229959.534964,5.528210858754502,337451.1082295902,0.006,2.3
18,126.101,446.682,21.26,20.93,0.33000000000000185,132,0.557,59.21,0.019400000000000195,1.0456828853581381,9.845979999999999,7014229959.534964,5.528210858754502,337451.1082295902,0.006,2.3
19,892.692,803.489,21.990000000000002,20.91,1.0800000000000018,268,0.712,51.67,0.021600000000000064,1.0509934271862171,9.84132,6939369293.139154,5.539106546642489,346024.2584829982,0.006,2.3
20,886.928,345.232,22.53,20.91,1.620000000000001,222,0.431,43.47,0.021600000000000064,1.0509934271862171,9.84132,6939369293.139154,5.539106546642489,346024.2584829982,0.006,2.3
21,173.995,551.437,22.62,20.89,1.7300000000000004,225,0.337,33.34,0.023800000000000043,1.0563309388106872,9.836659999999998,6865307591.049528,5.550054910169705,354858.25302057137,0.006,2.3
22,72.087,743.065,23.44,20.8805125,1.6,244,0.2,13.18,0.024843625000000258,1.0588723917943377,9.834449412499998,6830451508.640698,5.555266470482816,359142.22629690176,0.006,2.3
23,409.992,310.652,21.810000000000002,20.88,0.9300000000000033,301,0.304,28.19,0.024900000000000255,1.0590098510716819,9.834329999999998,6828573683.336178,5.555548313833228,359375.3738604667,0.006,2.3
24,33.263,194.56,21.990000000000002,20.88,1.110000000000003,493,0.596,45.46,0.024900000000000255,1.0590098510716819,9.834329999999998,6828573683.336178,5.555548313833228,359375.3738604667,0.006,2.3
25,695.073,132.244,22.35,20.88,1.4700000000000024,254,0.566,50.31,0.024900000000000255,1.0590098510716819,9.834329999999998,6828573683.336178,5.555548313833228,359375.3738604667,0.006,2.3
26,162.064,292.952,21.880000000000003,20.86,1.0200000000000031,135,0.34,38.83,0.027100000000000235,1.064388074421429,9.829669999999998,6755694467.88181,5.566572486588737,368614.5608988333,0.006,2.3
27,817.172,410.033,22.42,20.85,1.5700000000000003,218,0.423,42.96,0.028200000000000003,1.0670874200130984,9.8238,6664997640.442612,5.568562819071015,370307.76515840576,0.006,2.3
28,367.091,62.301,22.12,20.85,1.2699999999999996,240,0.323,31.11,0.028200000000000003,1.0670874200130984,9.8238,6664997640.442612,5.568562819071015,370307.76515840576,0.006,2.3
29,728.664,434.58,22.55,20.84,1.7100000000000009,223,0.2,13.45,0.029300000000000104,1.0697936112908475,9.8217,6632847312.550216,5.57433502164377,375262.37395864056,0.006,2.3
30,359.017,404.042,21.91,20.83,1.0800000000000018,276,0.292,26.57,0.030400000000000316,1.0725066656157045,9.8196,6600852070.021588,5.580118871654258,380293.47300114715,0.006,2.3
31,661.932,529.525,21.87,20.83,1.0400000000000027,228,0.457,45.31,0.030400000000000316,1.0725066656157045,9.8196,6600852070.021588,5.580118871654258,380293.47300114715,0.006,2.3
